date,temperatureMin,temperatureMax,humidity,dewPoint,windSpeed,temperatureMean
2018/01/01,58.78,83.07,0.67,57.63,3.36,70.5929
2018/01/02,60.46,83.13,0.69,59.33,4.55,70.5929
2018/01/03,64.04,80.68,0.7,60.35,4.48,70.5929
2018/01/04,60.63,80.3,0.71,58.65,5.91,70.5929
2018/01/05,56.63,79.61,0.65,54.36,4.81,70.5929
2018/01/06,56.11,79.59,0.66,54.03,4.13,70.5929
2018/01/07,55.52,79.53,0.63,52.68,4.39,70.5929
2018/01/08,54.91,78.51,0.61,50.31,6.69,70.5929
2018/01/09,57.02,79.73,0.71,56.85,7.6,70.5929
2018/01/10,62.42,82.01,0.75,61.56,8.06,70.5929
2018/01/11,61.98,83.82,0.74,62.55,5.87,70.5929
2018/01/12,65.08,83.24,0.71,61.97,6.19,70.5929
2018/01/13,58.5,86.39,0.6,54.31,5.51,70.5929
2018/01/14,55.17,85.4,0.62,53.14,4.98,70.5929
2018/01/15,56.1,85.04,0.61,53.82,5.22,70.5929
2018/01/16,60.28,82.58,0.64,56.22,5.42,70.5929
2018/01/17,56.95,81.35,0.66,55.09,5.76,70.5929
2018/01/18,56.83,81.6,0.54,48.92,5.88,70.5929
2018/01/19,51.1,80.36,0.59,49.31,6.01,70.5929
2018/01/20,53.4,81.25,0.6,49.33,5.27,70.5929
2018/01/21,53.4,81.6,0.6,49.22,5.07,70.5929
2018/01/22,54.92,81.23,0.67,53.64,5.33,70.5929
2018/01/23,58.64,83.83,0.7,58.17,5.17,70.5929
2018/01/24,59.71,83.11,0.68,58.66,3.86,70.5929
2018/01/25,60.61,83.22,0.63,56.04,3.92,70.5929
2018/01/26,58.49,81.36,0.57,52.19,3.98,70.5929
2018/01/27,58.62,82.32,0.6,53.22,4.09,70.5929
2018/01/28,57.0,82.31,0.61,53.6,5.11,70.5929
2018/01/29,57.89,83.07,0.63,54.62,6.47,70.5929
2018/01/30,58.64,81.66,0.63,54.36,6.78,70.5929
2018/01/31,56.17,83.07,0.59,50.93,5.42,70.5929
2018/02/01,53.41,83.82,0.42,41.06,5.15,70.5929
2018/02/02,52.79,84.35,0.45,44.13,5.62,70.5929
2018/02/03,52.9,82.03,0.46,44.19,6.81,70.5929
2018/02/04,53.56,82.0,0.51,45.99,5.14,70.5929
2018/02/05,51.59,83.21,0.58,48.85,5.26,70.5929
2018/02/06,60.35,86.68,0.66,59.23,5.19,70.5929
2018/02/07,65.98,83.57,0.8,65.41,5.57,70.5929
2018/02/08,65.77,83.22,0.7,61.03,4.42,70.5929
2018/02/09,63.99,89.28,0.69,62.1,3.83,70.5929
2018/02/10,66.9,85.13,0.68,61.2,4.89,70.5929
2018/02/11,61.72,85.47,0.63,57.38,7.57,70.5929
2018/02/12,63.84,84.11,0.67,59.05,6.68,70.5929
2018/02/13,65.03,84.87,0.62,57.0,7.09,70.5929
2018/02/14,63.04,85.05,0.68,59.66,7.8,70.5929
2018/02/15,61.95,85.04,0.69,60.1,7.81,70.5929
2018/02/16,61.5,85.93,0.5,48.37,5.96,70.5929
2018/02/17,58.79,86.65,0.54,52.02,4.59,70.5929
2018/02/18,58.79,87.72,0.56,51.94,5.51,70.5929
2018/02/19,57.9,87.25,0.51,48.44,6.57,70.5929
2018/02/20,60.29,86.72,0.55,52.05,6.56,70.5929
2018/02/21,60.61,86.81,0.47,47.7,6.6,70.5929
2018/02/22,58.96,88.01,0.49,48.49,5.52,70.5929
2018/02/23,60.01,86.69,0.46,46.72,7.01,70.5929
2018/02/24,56.53,85.83,0.57,52.7,6.76,70.5929
2018/02/25,62.54,87.25,0.56,53.69,7.66,70.5929
2018/02/26,60.62,88.47,0.53,50.71,4.86,70.5929
2018/02/27,61.49,89.25,0.43,47.41,7.61,70.5929
2018/02/28,56.32,89.08,0.43,45.04,6.39,70.5929
2018/03/01,58.78,88.89,0.46,45.81,7.08,70.5929
2018/03/02,56.88,90.29,0.42,45.92,6.84,70.5929
2018/03/03,58.8,90.41,0.38,44.19,5.17,70.5929
2018/03/04,58.21,90.37,0.35,41.47,5.1,70.5929
2018/03/05,58.8,90.9,0.33,39.43,5.58,70.5929
2018/03/06,57.02,91.57,0.37,41.4,5.28,70.5929
2018/03/07,58.73,90.43,0.42,46.17,6.59,70.5929
2018/03/08,58.82,89.79,0.5,50.35,7.58,70.5929
2018/03/09,56.99,90.53,0.44,48.36,6.41,70.5929
2018/03/10,62.1,90.51,0.51,53.17,5.66,70.5929
2018/03/11,62.42,91.57,0.47,51.14,7.32,70.5929
2018/03/12,62.0,90.08,0.56,56.69,7.94,70.5929
2018/03/13,65.68,87.51,0.61,61.33,8.07,70.5929
2018/03/14,70.52,88.7,0.5,57.79,8.82,70.5929
2018/03/15,71.83,89.76,0.68,65.32,7.49,70.5929
2018/03/16,67.15,88.43,0.76,66.62,5.07,70.5929
2018/03/17,67.74,84.88,0.81,67.13,4.76,70.5929
2018/03/18,67.65,88.03,0.75,66.45,6.1,70.5929
2018/03/19,64.99,87.75,0.54,54.71,5.97,70.5929
2018/03/20,64.29,91.21,0.54,55.94,4.69,70.5929
2018/03/21,67.42,92.25,0.52,58.81,4.88,70.5929
2018/03/22,72.0,90.52,0.55,60.84,5.6,70.5929
2018/03/23,69.63,93.12,0.5,57.83,5.38,70.5929
2018/03/24,71.41,92.29,0.57,62.51,5.48,70.5929
2018/03/25,67.66,92.45,0.54,58.65,7.12,70.5929
2018/03/26,66.03,91.41,0.5,54.02,5.86,70.5929
2018/03/27,65.56,92.51,0.52,57.93,4.52,70.5929
2018/03/28,66.03,92.07,0.6,63.19,4.32,70.5929
2018/03/29,73.04,93.11,0.64,66.57,5.78,70.5929
2018/03/30,69.86,92.26,0.74,68.54,6.45,70.5929
2018/03/31,69.63,91.04,0.68,65.82,6.61,70.5929
2018/04/01,67.5,91.67,0.64,64.87,3.93,70.5929
2018/04/02,67.7,90.46,0.75,67.17,6.14,70.5929
2018/04/03,66.03,89.45,0.68,64.05,3.59,70.5929
2018/04/04,67.83,91.43,0.61,61.89,5.12,70.5929
2018/04/05,65.64,91.01,0.56,59.52,4.77,70.5929
2018/04/06,67.74,92.04,0.55,59.6,4.61,70.5929
2018/04/07,67.81,90.41,0.53,59.4,5.17,70.5929
2018/04/08,66.86,89.6,0.58,59.77,6.81,70.5929
2018/04/09,67.6,89.38,0.63,62.28,7.68,70.5929
2018/04/10,66.03,89.22,0.6,61.0,5.99,70.5929
2018/04/11,70.51,91.33,0.6,61.74,6.14,70.5929
2018/04/12,71.23,92.07,0.6,63.26,5.93,70.5929
2018/04/13,71.24,91.32,0.6,63.01,6.83,70.5929
2018/04/14,71.44,93.94,0.62,65.51,6.67,70.5929
2018/04/15,72.23,92.44,0.62,65.89,6.61,70.5929
2018/04/16,73.73,93.1,0.64,67.52,5.46,70.5929
2018/04/17,73.0,93.99,0.59,63.91,5.24,70.5929
2018/04/18,71.04,95.65,0.54,62.95,4.29,70.5929
2018/04/19,74.07,93.85,0.56,64.34,5.39,70.5929
2018/04/20,70.98,93.58,0.61,64.09,7.11,70.5929
2018/04/21,71.43,94.6,0.55,63.62,5.13,70.5929
2018/04/22,73.21,93.63,0.67,68.03,6.72,70.5929
2018/04/23,70.45,93.34,0.58,63.49,5.74,70.5929
2018/04/24,73.0,89.22,0.66,66.26,5.96,70.5929
2018/04/25,71.44,92.34,0.65,66.11,5.56,70.5929
2018/04/26,70.2,92.59,0.7,68.12,6.29,70.5929
