date,temperatureMin,temperatureMax,temperatureMean,temperatureMin_1,temperatureMin_2,temperatureMin_3,temperatureMax_1,temperatureMax_2,temperatureMax_3,humidity_1,humidity_2,humidity_3,dewPoint_1,dewPoint_2,dewPoint_3,windSpeed_1,windSpeed_2,windSpeed_3,temperatureMean_1,temperatureMean_2,temperatureMean_3
2018/01/04,60.63,80.3,70.5929,64.04,60.46,58.78,80.68,83.13,83.07,0.7,0.69,0.67,60.35,59.33,57.63,4.48,4.55,3.36,70.5929,70.5929,70.5929
2018/01/05,56.63,79.61,70.5929,60.63,64.04,60.46,80.3,80.68,83.13,0.71,0.7,0.69,58.65,60.35,59.33,5.91,4.48,4.55,70.5929,70.5929,70.5929
2018/01/06,56.11,79.59,70.5929,56.63,60.63,64.04,79.61,80.3,80.68,0.65,0.71,0.7,54.36,58.65,60.35,4.81,5.91,4.48,70.5929,70.5929,70.5929
2018/01/07,55.52,79.53,70.5929,56.11,56.63,60.63,79.59,79.61,80.3,0.66,0.65,0.71,54.03,54.36,58.65,4.13,4.81,5.91,70.5929,70.5929,70.5929
2018/01/08,54.91,78.51,70.5929,55.52,56.11,56.63,79.53,79.59,79.61,0.63,0.66,0.65,52.68,54.03,54.36,4.39,4.13,4.81,70.5929,70.5929,70.5929
2018/01/09,57.02,79.73,70.5929,54.91,55.52,56.11,78.51,79.53,79.59,0.61,0.63,0.66,50.31,52.68,54.03,6.69,4.39,4.13,70.5929,70.5929,70.5929
2018/01/10,62.42,82.01,70.5929,57.02,54.91,55.52,79.73,78.51,79.53,0.71,0.61,0.63,56.85,50.31,52.68,7.6,6.69,4.39,70.5929,70.5929,70.5929
2018/01/11,61.98,83.82,70.5929,62.42,57.02,54.91,82.01,79.73,78.51,0.75,0.71,0.61,61.56,56.85,50.31,8.06,7.6,6.69,70.5929,70.5929,70.5929
2018/01/12,65.08,83.24,70.5929,61.98,62.42,57.02,83.82,82.01,79.73,0.74,0.75,0.71,62.55,61.56,56.85,5.87,8.06,7.6,70.5929,70.5929,70.5929
2018/01/13,58.5,86.39,70.5929,65.08,61.98,62.42,83.24,83.82,82.01,0.71,0.74,0.75,61.97,62.55,61.56,6.19,5.87,8.06,70.5929,70.5929,70.5929
2018/01/14,55.17,85.4,70.5929,58.5,65.08,61.98,86.39,83.24,83.82,0.6,0.71,0.74,54.31,61.97,62.55,5.51,6.19,5.87,70.5929,70.5929,70.5929
2018/01/15,56.1,85.04,70.5929,55.17,58.5,65.08,85.4,86.39,83.24,0.62,0.6,0.71,53.14,54.31,61.97,4.98,5.51,6.19,70.5929,70.5929,70.5929
2018/01/16,60.28,82.58,70.5929,56.1,55.17,58.5,85.04,85.4,86.39,0.61,0.62,0.6,53.82,53.14,54.31,5.22,4.98,5.51,70.5929,70.5929,70.5929
2018/01/17,56.95,81.35,70.5929,60.28,56.1,55.17,82.58,85.04,85.4,0.64,0.61,0.62,56.22,53.82,53.14,5.42,5.22,4.98,70.5929,70.5929,70.5929
2018/01/18,56.83,81.6,70.5929,56.95,60.28,56.1,81.35,82.58,85.04,0.66,0.64,0.61,55.09,56.22,53.82,5.76,5.42,5.22,70.5929,70.5929,70.5929
2018/01/19,51.1,80.36,70.5929,56.83,56.95,60.28,81.6,81.35,82.58,0.54,0.66,0.64,48.92,55.09,56.22,5.88,5.76,5.42,70.5929,70.5929,70.5929
2018/01/20,53.4,81.25,70.5929,51.1,56.83,56.95,80.36,81.6,81.35,0.59,0.54,0.66,49.31,48.92,55.09,6.01,5.88,5.76,70.5929,70.5929,70.5929
2018/01/21,53.4,81.6,70.5929,53.4,51.1,56.83,81.25,80.36,81.6,0.6,0.59,0.54,49.33,49.31,48.92,5.27,6.01,5.88,70.5929,70.5929,70.5929
2018/01/22,54.92,81.23,70.5929,53.4,53.4,51.1,81.6,81.25,80.36,0.6,0.6,0.59,49.22,49.33,49.31,5.07,5.27,6.01,70.5929,70.5929,70.5929
2018/01/23,58.64,83.83,70.5929,54.92,53.4,53.4,81.23,81.6,81.25,0.67,0.6,0.6,53.64,49.22,49.33,5.33,5.07,5.27,70.5929,70.5929,70.5929
2018/01/24,59.71,83.11,70.5929,58.64,54.92,53.4,83.83,81.23,81.6,0.7,0.67,0.6,58.17,53.64,49.22,5.17,5.33,5.07,70.5929,70.5929,70.5929
2018/01/25,60.61,83.22,70.5929,59.71,58.64,54.92,83.11,83.83,81.23,0.68,0.7,0.67,58.66,58.17,53.64,3.86,5.17,5.33,70.5929,70.5929,70.5929
2018/01/26,58.49,81.36,70.5929,60.61,59.71,58.64,83.22,83.11,83.83,0.63,0.68,0.7,56.04,58.66,58.17,3.92,3.86,5.17,70.5929,70.5929,70.5929
2018/01/27,58.62,82.32,70.5929,58.49,60.61,59.71,81.36,83.22,83.11,0.57,0.63,0.68,52.19,56.04,58.66,3.98,3.92,3.86,70.5929,70.5929,70.5929
2018/01/28,57.0,82.31,70.5929,58.62,58.49,60.61,82.32,81.36,83.22,0.6,0.57,0.63,53.22,52.19,56.04,4.09,3.98,3.92,70.5929,70.5929,70.5929
2018/01/29,57.89,83.07,70.5929,57.0,58.62,58.49,82.31,82.32,81.36,0.61,0.6,0.57,53.6,53.22,52.19,5.11,4.09,3.98,70.5929,70.5929,70.5929
2018/01/30,58.64,81.66,70.5929,57.89,57.0,58.62,83.07,82.31,82.32,0.63,0.61,0.6,54.62,53.6,53.22,6.47,5.11,4.09,70.5929,70.5929,70.5929
2018/01/31,56.17,83.07,70.5929,58.64,57.89,57.0,81.66,83.07,82.31,0.63,0.63,0.61,54.36,54.62,53.6,6.78,6.47,5.11,70.5929,70.5929,70.5929
2018/02/01,53.41,83.82,70.5929,56.17,58.64,57.89,83.07,81.66,83.07,0.59,0.63,0.63,50.93,54.36,54.62,5.42,6.78,6.47,70.5929,70.5929,70.5929
2018/02/02,52.79,84.35,70.5929,53.41,56.17,58.64,83.82,83.07,81.66,0.42,0.59,0.63,41.06,50.93,54.36,5.15,5.42,6.78,70.5929,70.5929,70.5929
2018/02/03,52.9,82.03,70.5929,52.79,53.41,56.17,84.35,83.82,83.07,0.45,0.42,0.59,44.13,41.06,50.93,5.62,5.15,5.42,70.5929,70.5929,70.5929
2018/02/04,53.56,82.0,70.5929,52.9,52.79,53.41,82.03,84.35,83.82,0.46,0.45,0.42,44.19,44.13,41.06,6.81,5.62,5.15,70.5929,70.5929,70.5929
2018/02/05,51.59,83.21,70.5929,53.56,52.9,52.79,82.0,82.03,84.35,0.51,0.46,0.45,45.99,44.19,44.13,5.14,6.81,5.62,70.5929,70.5929,70.5929
2018/02/06,60.35,86.68,70.5929,51.59,53.56,52.9,83.21,82.0,82.03,0.58,0.51,0.46,48.85,45.99,44.19,5.26,5.14,6.81,70.5929,70.5929,70.5929
2018/02/07,65.98,83.57,70.5929,60.35,51.59,53.56,86.68,83.21,82.0,0.66,0.58,0.51,59.23,48.85,45.99,5.19,5.26,5.14,70.5929,70.5929,70.5929
2018/02/08,65.77,83.22,70.5929,65.98,60.35,51.59,83.57,86.68,83.21,0.8,0.66,0.58,65.41,59.23,48.85,5.57,5.19,5.26,70.5929,70.5929,70.5929
2018/02/09,63.99,89.28,70.5929,65.77,65.98,60.35,83.22,83.57,86.68,0.7,0.8,0.66,61.03,65.41,59.23,4.42,5.57,5.19,70.5929,70.5929,70.5929
2018/02/10,66.9,85.13,70.5929,63.99,65.77,65.98,89.28,83.22,83.57,0.69,0.7,0.8,62.1,61.03,65.41,3.83,4.42,5.57,70.5929,70.5929,70.5929
2018/02/11,61.72,85.47,70.5929,66.9,63.99,65.77,85.13,89.28,83.22,0.68,0.69,0.7,61.2,62.1,61.03,4.89,3.83,4.42,70.5929,70.5929,70.5929
2018/02/12,63.84,84.11,70.5929,61.72,66.9,63.99,85.47,85.13,89.28,0.63,0.68,0.69,57.38,61.2,62.1,7.57,4.89,3.83,70.5929,70.5929,70.5929
2018/02/13,65.03,84.87,70.5929,63.84,61.72,66.9,84.11,85.47,85.13,0.67,0.63,0.68,59.05,57.38,61.2,6.68,7.57,4.89,70.5929,70.5929,70.5929
